,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLU,89.71,0.070238936852351,49500.0,551,0.33,88.0999984741211,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLK,285.83,0.0919279276247397,49500.0,173,0.33,281.6000061035156,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLV,151.46,0.0871978963605692,49500.0,326,0.33,142.6999969482422,2025-10-31 00:00:00-04:00,2026-03-18 07:58:47
XLU,88.81,0.0608167456814563,49500.0,557,0.33,88.0999984741211,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLV,155.34,0.1099973824048655,49500.0,318,0.33,144.72000122070312,2025-11-07 00:00:00-05:00,2026-03-18 07:58:47
XLK,276.81,0.0629591156780955,49500.0,178,0.33,267.4800109863281,2025-11-21 00:00:00-05:00,2026-03-18 07:58:47
XLU,88.28,0.0551782417758284,49500.0,560,0.33,87.5199966430664,2025-11-21 00:00:00-05:00,2026-03-18 07:58:47
XLK,146.6,0.0909115581850725,49500.0,337,0.33,136.65499877929688,2025-11-25 00:00:00-05:00,2026-03-18 07:58:47
XLV,153.26,0.0757721097216242,49500.0,322,0.33,152.9600067138672,2025-12-05 00:00:00-05:00,2026-03-18 07:58:47
XLC,117.13,0.0588048372974589,49500.0,422,0.33,112.5749969482422,2025-11-24 00:00:00-05:00,2026-03-18 07:58:47
XLK,146.6,0.0909115603534998,39600.0,270,0.33,136.65499877929688,2025-11-25 00:00:00-05:00,2026-03-18 07:58:47
XLV,153.26,0.0757721097216242,39600.0,258,0.33,152.9600067138672,2025-12-05 00:00:00-05:00,2026-03-18 07:58:47
XLC,117.13,0.0588048372974589,39600.0,338,0.33,112.5749969482422,2025-11-24 00:00:00-05:00,2026-03-18 07:58:47
XLK,148.73,0.1039308415185792,39600.0,266,0.33,136.65499877929688,2025-11-25 00:00:00-05:00,2026-03-18 07:58:47
XLV,152.14,0.0689682761662687,39600.0,260,0.33,149.85000610351562,2025-12-09 00:00:00-05:00,2026-03-18 07:58:47
XLC,117.07,0.0583224599019709,39600.0,338,0.33,113.63500213623048,2025-11-25 00:00:00-05:00,2026-03-18 07:58:47
XLV,153.815,0.0791069371383554,39600.0,257,0.33,149.85000610351562,2025-12-09 00:00:00-05:00,2026-03-18 07:58:47
XLK,143.58,0.0717578551910728,39600.0,275,0.33,141.28500366210938,2025-12-01 00:00:00-05:00,2026-03-18 07:58:47
XLY,120.525,0.0542665053536001,39600.0,328,0.33,117.33000183105467,2025-12-09 00:00:00-05:00,2026-03-18 07:58:47
XLV,154.955,0.0897581001929933,39600.0,255,0.33,149.2145930255097,2025-12-09 00:00:00-05:00,2026-03-18 07:58:47
XLK,145.71,0.0867440455947385,39600.0,271,0.33,139.10900798011673,2025-12-17 00:00:00-05:00,2026-03-18 07:58:47
XLY,122.125,0.0685028953383051,39600.0,324,0.33,117.09794239536971,2025-12-09 00:00:00-05:00,2026-03-18 07:58:47
XLE,46.89,0.072141327119795,39600.0,844,0.33,43.9900016784668,2025-12-26 00:00:00-05:00,2026-03-18 07:58:47
